Price,Vol.,Change,Weekly Av,5-Day Moving Av,High,Low,4-Week,7-Day_High,7-Day_Low,5-Day Change,5-Day Av Change,,,,,y_train,Target,Target_Vol.,Target_Change,Target_Weekly,Target_5-Day Moving Av,Target_High,Target_Low,,,,,,Error 2-4,
41.13,4.2,0.73,,40.846,41.36,40.85,39.0106,41.36,40.15,0.01580355,0.34,,,,,,41.53,5.39,0.97,41.056,41.056,41.54,40.92,,,,,,6dim,[-2.9622723 29.38233596 93.28573846 -2.85659849 -5.36538369 -4.94749545]
40.83,3,-0.37,,40.708,41.12,40.54,38.9118,41.12,39.88,0.0095518,0.618,,,,,,41.13,4.2,0.73,,40.846,41.36,40.85,,,,,,,
40.98,3.16,0.42,,40.462,40.98,40.27,38.8246,41.01,38.72,0.033674963,1.474,,,,,,40.83,3,-0.37,,40.708,41.12,40.54,,,,,,,
40.81,3.85,0.82,,39.888,41.01,40.46,38.7502,41.01,37.9,0.066160255,1.02,,,,,,40.98,3.16,0.42,,40.462,40.98,40.27,,,,,,,
40.48,4.97,0.1,39.492,39.492,40.82,40.15,38.6957,40.82,37.9,0.04076087,0.688,,,,,,40.81,3.85,0.82,,39.888,41.01,40.46,,,,,,,
40.44,8.43,2.12,,39.228,40.78,39.88,38.6716,40.78,37.9,0.03165183,0.446,,,,,,40.48,4.97,0.1,39.492,39.492,40.82,40.15,,,,,,,
39.6,9.49,3.91,,39.06,39.98,38.72,38.6736,39.98,37.9,0,0.22,,,,,,40.44,8.43,2.12,,39.228,40.78,39.88,,,,,,,
38.11,7.32,-1.85,,38.982,38.99,37.9,38.6988,39.84,37.9,-0.028863815,-0.162,,,,,,39.6,9.49,3.91,,39.06,39.98,38.72,,,,,,,
38.83,4.36,-0.84,,39.048,39.46,38.71,38.7365,39.84,38.15,0.010043781,0.35,,,,,,38.11,7.32,-1.85,,38.982,38.99,37.9,,,,,,,
39.16,2.32,-1.11,38.916,38.916,39.33,38.84,38.7809,39.84,37.99,0.025280899,0.826,,,,,,38.83,4.36,-0.84,,39.048,39.46,38.71,,,,,,,
39.6,2.34,0.99,,38.602,39.84,39.03,38.8362,39.84,37.4,0.050757576,0.952,,,,,,39.16,2.32,-1.11,38.916,38.916,39.33,38.84,,,,,,,
39.21,3.09,2,,38.236,39.31,38.15,38.903,39.31,37.33,0.036725325,0.586,,,,,,39.6,2.34,0.99,,38.602,39.84,39.03,,,,,,,
38.44,2.17,0.71,,38.012,38.82,38.15,38.9786,38.82,37.33,0.009105099,0.196,,,,,,39.21,3.09,2,,38.236,39.31,38.15,,,,,,,
38.17,1.84,1.54,,37.938,38.41,37.99,39.057,38.59,37.33,0.002619859,-0.154,,,,,,38.44,2.17,0.71,,38.012,38.82,38.15,,,,,,,
37.59,2.99,-0.48,37.998,37.998,38.59,37.4,39.1313,38.59,37.33,-0.023410482,-0.714,,,,,,38.17,1.84,1.54,,37.938,38.41,37.99,,,,,,,
37.77,3.6,-0.84,,38.272,38.3,37.33,39.1671,39.13,37.33,-0.031506487,-0.384,,,,,,37.59,2.99,-0.48,37.998,37.998,38.59,37.4,,,,,,,
38.09,2.54,0.05,,38.42,38.46,37.89,39.1575,39.13,37.66,-0.011026516,-0.262,,,,,,37.77,3.6,-0.84,,38.272,38.3,37.33,,,,,,,
38.07,3.04,-1.04,,38.522,38.4,37.75,39.1105,39.13,37.66,-0.013921723,-0.558,,,,,,38.09,2.54,0.05,,38.42,38.46,37.89,,,,,,,
38.47,2.85,-1.26,,38.74,38.51,37.66,39.0459,39.35,37.66,-0.017936054,-0.258,,,,,,38.07,3.04,-1.04,,38.522,38.4,37.75,,,,,,,
38.96,1.69,1.17,38.842,38.842,39.13,38.6,38.9672,39.57,38.06,-0.000513347,-0.068,,,,,,38.47,2.85,-1.26,,38.74,38.51,37.66,,,,,,,
38.51,2.45,-0.23,,38.87,38.85,38.06,38.8928,39.57,38.06,-0.015320696,-0.24,,,,,,38.96,1.69,1.17,38.842,38.842,39.13,38.6,,,,,,,
38.6,1.82,-1.43,,38.964,39.01,38.27,38.8211,39.57,38.27,-0.00984456,-0.024,,,,,,38.51,2.45,-0.23,,38.87,38.85,38.06,,,,,,,
39.16,3.25,0.46,38.974,38.974,39.35,38.73,38.7568,39.57,38.28,0.013023493,0.456,,,,,,38.6,1.82,-1.43,,38.964,39.01,38.27,,,,,,,
38.98,2.19,-0.31,,38.798,39.57,38.72,38.6875,39.57,38.17,0.017957927,-0.516,,,,,,39.16,3.25,0.46,38.974,38.974,39.35,38.73,,,,,,,
39.1,2.38,0.31,,39.01,39.22,38.52,38.6177,40.36,38.17,-0.024040921,-0.628,,,,,,38.98,2.19,-0.31,,38.798,39.57,38.72,,,,,,,
38.98,2.09,0.85,,39.268,38.99,38.49,38.5259,40.46,38.17,-0.036172396,-0.724,,,,,,39.1,2.38,0.31,,39.01,39.22,38.52,,,,,,,
38.65,2.51,0.97,,39.564,38.75,38.28,38.4135,40.58,38.17,-0.04683053,-0.414,,,,,,38.98,2.09,0.85,,39.268,38.99,38.49,,,,,,,
38.28,3.34,-4.4,39.736,39.736,38.93,38.17,38.272,40.58,38.17,-0.032131661,-0.49,,,,,,38.65,2.51,0.97,,39.564,38.75,38.28,,,,,,,
40.04,1.52,-0.87,,39.936,40.36,39.94,38.1128,40.58,38.79,0.018981019,-0.198,,,,,,38.28,3.34,-4.4,39.736,39.736,38.93,38.17,,,,,,,
40.39,2.48,-0.17,,40.022,40.46,40.1,37.9319,40.68,38.79,-0.001980688,0.226,,,,,,40.04,1.52,-0.87,,39.936,40.36,39.94,,,,,,,
40.46,3.23,2.4,,39.938,40.58,39.67,37.7535,40.68,38.79,0.012110727,0.492,,,,,,40.39,2.48,-0.17,,40.022,40.46,40.1,,,,,,,
39.51,2.54,0.59,,39.748,39.62,38.79,37.5881,40.68,38.4,0,0.446,,,,,,40.46,3.23,2.4,,39.938,40.58,39.67,,,,,,,
39.28,2.66,-2.94,39.58,39.58,39.71,38.89,37.4493,40.68,38.22,0.015529532,0.416,,,,,,39.51,2.54,0.59,,39.748,39.62,38.79,,,,,,,
40.47,2.88,1.25,,39.424,40.68,39.99,37.3466,40.68,36.61,0.048678033,1.86,,,,,,39.28,2.66,-2.94,39.58,39.58,39.71,38.89,,,,,,,
39.97,4.13,1.16,,38.714,39.98,39.19,37.2881,39.98,36.61,0.07630723,1.676,,,,,,40.47,2.88,1.25,,39.424,40.68,39.99,,,,,,,
39.51,2.74,2.17,,38.08,39.56,38.4,37.2965,39.56,36.48,0.06859023,1.602,,,,,,39.97,4.13,1.16,,38.714,39.98,39.19,,,,,,,
38.67,2.28,0.44,,37.48,39.25,38.22,37.3731,39.25,36.39,0.055857254,0.682,,,,,,39.51,2.74,2.17,,38.08,39.56,38.4,,,,,,,
38.5,4.63,4.28,37.23,37.23,38.58,36.61,37.5058,38.58,36.39,0.028051948,0.196,,,,,,38.67,2.28,0.44,,37.48,39.25,38.22,,,,,,,
36.92,3.37,0.33,,37.166,37.16,36.63,37.6709,38.76,36.39,-0.034127844,-0.49,,,,,,38.5,4.63,4.28,37.23,37.23,38.58,36.61,,,,,,,
36.8,3.03,0.79,,37.354,36.96,36.48,37.859,38.76,36.39,-0.028804348,-0.206,,,,,,36.92,3.37,0.33,,37.166,37.16,36.63,,,,,,,
36.51,6.6,-2.43,,37.436,37.19,36.39,38.0407,38.76,36.39,-0.019172829,-0.634,,,,,,36.8,3.03,0.79,,37.354,36.96,36.48,,,,,,,
37.42,3.19,-1.99,,37.678,38.28,37.2,38.2121,38.76,36.74,-0.008017103,0.258,,,,,,36.51,6.6,-2.43,,37.436,37.19,36.39,,,,,,,
38.18,3.22,0.85,37.588,37.588,38.76,38.18,38.3677,38.76,36.74,0.031691985,0.506,,,,,,37.42,3.19,-1.99,,37.678,38.28,37.2,,,,,,,
37.86,7.38,1.75,,37.402,38.21,37.38,38.5228,38.21,36.71,0.016111992,0.624,,,,,,38.18,3.22,0.85,37.588,37.588,38.76,38.18,,,,,,,
37.21,5.04,-1.35,,37.174,37.69,36.74,38.6838,37.96,36.13,0.013168503,0.428,,,,,,37.86,7.38,1.75,,37.402,38.21,37.38,,,,,,,
37.72,5.49,2.03,37.02,37.02,37.96,37.4,38.8612,37.96,36.13,0.033934252,0.78,,,,,,37.21,5.04,-1.35,,37.174,37.69,36.74,,,,,,,
